entrez-gene-symbol	disease_name
POLG	Neonatal cholestasis
SLC25A13	Neonatal cholestasis
SMPD1	Neonatal cholestasis
TALDO1	Neonatal cholestasis
TJP2	Neonatal cholestasis
TRMU	Neonatal cholestasis
UGT1A1	Neonatal cholestasis
VIPAS39	Neonatal cholestasis
VPS33B	Neonatal cholestasis
ABCC8	Diabetes - neonatal onset
BSCL2	Diabetes - neonatal onset
EIF2AK3	Diabetes - neonatal onset
EIF2S3	Diabetes - neonatal onset
FOXP3	Diabetes - neonatal onset
GATA4	Diabetes - neonatal onset
GATA6	Diabetes - neonatal onset
GCK	Diabetes - neonatal onset
GLIS3	Diabetes - neonatal onset
HNF1B	Diabetes - neonatal onset
IER3IP1	Diabetes - neonatal onset
IL2RA	Diabetes - neonatal onset
INS	Diabetes - neonatal onset
INSR	Diabetes - neonatal onset
KCNJ11	Diabetes - neonatal onset
LRBA	Diabetes - neonatal onset
MNX1	Diabetes - neonatal onset
NEUROD1	Diabetes - neonatal onset
NEUROG3	Diabetes - neonatal onset
NKX2-2	Diabetes - neonatal onset
PDX1	Diabetes - neonatal onset
PTF1A	Diabetes - neonatal onset
RFX6	Diabetes - neonatal onset
SLC19A2	Diabetes - neonatal onset
SLC2A2	Diabetes - neonatal onset
STAT3	Diabetes - neonatal onset
WFS1	Diabetes - neonatal onset
ZFP57	Diabetes - neonatal onset
ACE	Unexplained paediatric onset end-stage renal disease
ACTG2	Unexplained paediatric onset end-stage renal disease
ACTN4	Unexplained paediatric onset end-stage renal disease
AGT	Unexplained paediatric onset end-stage renal disease
AGTR1	Unexplained paediatric onset end-stage renal disease
AGXT	Unexplained paediatric onset end-stage renal disease
AHI1	Unexplained paediatric onset end-stage renal disease
ALMS1	Unexplained paediatric onset end-stage renal disease
AMN	Unexplained paediatric onset end-stage renal disease
ANKS6	Unexplained paediatric onset end-stage renal disease
ANOS1	Unexplained paediatric onset end-stage renal disease
ARHGDIA	Unexplained paediatric onset end-stage renal disease
ARL13B	Unexplained paediatric onset end-stage renal disease
ARL6	Unexplained paediatric onset end-stage renal disease
ARMC9	Unexplained paediatric onset end-stage renal disease
B9D2	Unexplained paediatric onset end-stage renal disease
BBS1	Unexplained paediatric onset end-stage renal disease
BBS10	Unexplained paediatric onset end-stage renal disease
